photo current measurement     DLTS (c) R.Pickenhain  version 6.0 /500ns/ccs/pc/W-laser [2011-2021]
Laser Betriebszeit: 0 s

Substanz: _     Sample: D1
File Name: __pc_D1_04_08_2026_10_40_35.txt

Area: 1.00e+00  Epsilon: 1.000
temperature [K]: 0.00   slit [mm]: 0.00
chopper frequence: 334.923   Prisma:  Si68
E begin [meV]= 600.00   E end [meV]= 3000.00
dE [meV]= 30.00  dt [s]= 3.00
Maximum: False   gain:

Comments: 

E[meV]   lambda[nm]   photocurrent[A]   Theta[degree]    
600.000     2066.333     9.614600e-13     -57.546     
630.000     1967.937     2.962090e-13     -73.542     
660.000     1878.485     1.497480e-12     -35.508     
690.000     1796.812     1.564090e-12     -15.870     
720.000     1721.944     9.774470e-13     27.030     
750.000     1653.067     2.169390e-12     0.888     
780.000     1589.487     1.616490e-12     -39.864     
810.000     1530.617     6.243930e-13     -74.970     
840.000     1475.952     2.164500e-12     -30.528     
870.000     1425.057     1.930910e-12     -29.742     
900.000     1377.556     2.466490e-12     3.750     
930.000     1333.118     3.086430e-12     -19.674     
960.000     1291.458     3.831630e-12     -16.596     
990.000     1252.323     4.147820e-12     6.786     
1020.000     1215.490     9.476920e-12     -7.008     
1050.000     1180.762     6.522830e-11     -4.836     
1080.000     1147.963     2.182230e-10     -2.862     
1110.000     1116.937     3.994970e-10     -2.610     
1140.000     1087.544     5.861730e-10     -2.652     
1170.000     1059.658     8.160480e-10     -2.532     
1200.000     1033.167     9.156370e-10     -1.746     
1230.000     1007.967     8.290080e-10     -1.086     
1260.000     983.968     6.821250e-10     -0.678     
1290.000     961.085     5.426310e-10     -0.354     
1320.000     939.242     4.429260e-10     -0.132     
1350.000     918.370     3.592520e-10     0.168     
1380.000     898.406     3.028640e-10     -0.114     
1410.000     879.291     2.664840e-10     0.126     
1440.000     860.972     2.573890e-10     0.000     
1470.000     843.401     2.726230e-10     -0.306     
1500.000     826.533     3.129820e-10     -0.450     
1530.000     810.327     3.838090e-10     -0.498     
1560.000     794.744     4.898800e-10     -0.480     
1590.000     779.748     6.338080e-10     -0.414     
1620.000     765.309     8.313950e-10     -0.336     
1650.000     751.394     1.078900e-09     -0.312     
1680.000     737.976     1.371980e-09     -0.384     
1710.000     725.029     1.722140e-09     -0.276     
1740.000     712.529     2.119360e-09     -0.330     
1770.000     700.452     2.550010e-09     -0.252     
1800.000     688.778     2.984520e-09     -0.168     
1830.000     677.486     3.413800e-09     -0.126     
1860.000     666.559     3.798530e-09     -0.096     
1890.000     655.979     4.199170e-09     -0.162     
1920.000     645.729     4.491110e-09     -0.144     
1950.000     635.795     4.740310e-09     -0.030     
1980.000     626.162     4.914030e-09     0.000     
2010.000     616.816     5.007710e-09     -0.030     
2040.000     607.745     5.012250e-09     0.060     
2070.000     598.937     4.943130e-09     -0.024     
2100.000     590.381     4.800340e-09     0.030     
2130.000     582.066     4.602980e-09     0.006     
2160.000     573.981     4.369240e-09     0.006     
2190.000     566.119     4.089120e-09     0.072     
2220.000     558.468     3.791710e-09     0.072     
2250.000     551.022     3.480650e-09     0.066     
2280.000     543.772     3.173240e-09     -0.024     
2310.000     536.710     2.885840e-09     -0.012     
2340.000     529.829     2.597530e-09     -0.072     
2370.000     523.122     2.331960e-09     -0.048     
2400.000     516.583     2.088210e-09     -0.030     
2430.000     510.206     1.857200e-09     -0.060     
2460.000     503.984     1.650740e-09     -0.150     
2490.000     497.912     1.465660e-09     -0.132     
2520.000     491.984     1.300130e-09     -0.114     
2550.000     486.196     1.147110e-09     -0.132     
2580.000     480.543     1.011370e-09     -0.162     
2610.000     475.019     8.935820e-10     -0.234     
2640.000     469.621     7.830780e-10     -0.318     
2670.000     464.345     6.825790e-10     -0.348     
2700.000     459.185     5.959500e-10     -0.414     
2730.000     454.139     5.190980e-10     -0.438     
2760.000     449.203     4.511110e-10     -0.510     
2790.000     444.373     3.900610e-10     -0.528     
2820.000     439.645     3.378790e-10     -0.372     
2850.000     435.018     2.913810e-10     -0.564     
2880.000     430.486     2.507380e-10     -0.624     
2910.000     426.048     2.160060e-10     -0.432     
2940.000     421.701     1.852540e-10     -0.372     
2970.000     417.441     1.581960e-10     -0.906     
3000.000     413.267     1.356290e-10     -0.918     
3030.000     409.175     0.000000e+00     0.000     
