photo current measurement     DLTS (c) R.Pickenhain  version 6.0 /500ns/ccs/pc/W-laser [2011-2021]
Laser Betriebszeit: 0 s

Substanz: _     Sample: D4
File Name: __pc_D4_04_08_2026_11_22_23.txt

Area: 1.00e+00  Epsilon: 1.000
temperature [K]: 0.00   slit [mm]: 0.00
chopper frequence: 333.786   Prisma:  Si68
E begin [meV]= 600.00   E end [meV]= 3000.00
dE [meV]= 30.00  dt [s]= 3.00
Maximum: False   gain:

Comments: 

E[meV]   lambda[nm]   photocurrent[A]   Theta[degree]    
600.000     2066.333     6.616960e-12     -0.690     
630.000     1967.937     7.002430e-12     0.492     
660.000     1878.485     6.553010e-12     4.080     
690.000     1796.812     6.382480e-12     0.150     
720.000     1721.944     5.897530e-12     4.116     
750.000     1653.067     5.917070e-12     2.292     
780.000     1589.487     5.895760e-12     3.762     
810.000     1530.617     5.366400e-12     4.362     
840.000     1475.952     5.051990e-12     8.706     
870.000     1425.057     5.036000e-12     8.466     
900.000     1377.556     4.497760e-12     18.156     
930.000     1333.118     3.939990e-12     13.848     
960.000     1291.458     3.717940e-12     16.320     
990.000     1252.323     2.357240e-12     28.122     
1020.000     1215.490     1.879400e-12     122.070     
1050.000     1180.762     3.081290e-11     172.176     
1080.000     1147.963     1.256250e-10     176.100     
1110.000     1116.937     2.482370e-10     177.174     
1140.000     1087.544     3.915390e-10     177.912     
1170.000     1059.658     5.861730e-10     178.668     
1200.000     1033.167     7.546570e-10     179.388     
1230.000     1007.967     7.779630e-10     179.850     
1260.000     983.968     7.162310e-10     -179.868     
1290.000     961.085     6.173230e-10     -179.598     
1320.000     939.242     5.288750e-10     -179.442     
1350.000     918.370     4.449720e-10     -179.358     
1380.000     898.406     3.756230e-10     -179.286     
1410.000     879.291     3.227590e-10     -179.220     
1440.000     860.972     2.942230e-10     -179.262     
1470.000     843.401     2.877430e-10     -179.166     
1500.000     826.533     3.017270e-10     -179.064     
1530.000     810.327     3.329910e-10     -179.082     
1560.000     794.744     3.771010e-10     -179.010     
1590.000     779.748     4.324670e-10     -178.842     
1620.000     765.309     4.956780e-10     -178.806     
1650.000     751.394     5.652550e-10     -178.740     
1680.000     737.976     6.364220e-10     -178.686     
1710.000     725.029     7.083860e-10     -178.668     
1740.000     712.529     7.793270e-10     -178.638     
1770.000     700.452     8.482210e-10     -178.638     
1800.000     688.778     9.072250e-10     -178.626     
1830.000     677.486     9.580460e-10     -178.698     
1860.000     666.559     9.964720e-10     -178.692     
1890.000     655.979     1.024780e-09     -178.752     
1920.000     645.729     1.040240e-09     -178.806     
1950.000     635.795     1.042060e-09     -178.848     
1980.000     626.162     1.027960e-09     -178.878     
2010.000     616.816     9.997690e-10     -178.866     
2040.000     607.745     9.583870e-10     -178.854     
2070.000     598.937     9.085890e-10     -178.884     
2100.000     590.381     8.524270e-10     -178.878     
2130.000     582.066     7.917190e-10     -178.866     
2160.000     573.981     7.314650e-10     -178.836     
2190.000     566.119     6.698460e-10     -178.818     
2220.000     558.468     6.102740e-10     -178.794     
2250.000     551.022     5.509300e-10     -178.734     
2280.000     543.772     4.965880e-10     -178.710     
2310.000     536.710     4.456540e-10     -178.608     
2340.000     529.829     3.976780e-10     -178.560     
2370.000     523.122     3.542500e-10     -178.488     
2400.000     516.583     3.153690e-10     -178.518     
2430.000     510.206     2.787620e-10     -178.398     
2460.000     503.984     2.462470e-10     -178.464     
2490.000     497.912     2.178250e-10     -178.386     
2520.000     491.984     1.919040e-10     -178.386     
2550.000     486.196     1.696220e-10     -178.404     
2580.000     480.543     1.496130e-10     -178.494     
2610.000     475.019     1.321620e-10     -178.398     
2640.000     469.621     1.158470e-10     -178.566     
2670.000     464.345     1.018070e-10     -178.578     
2700.000     459.185     8.918780e-11     -178.824     
2730.000     454.139     7.816010e-11     -178.806     
2760.000     449.203     6.815570e-11     -179.130     
2790.000     444.373     5.852070e-11     -179.316     
2820.000     439.645     4.970980e-11     -179.154     
2850.000     435.018     4.135380e-11     -179.238     
2880.000     430.486     3.441890e-11     -179.226     
2910.000     426.048     2.803810e-11     -179.784     
2940.000     421.701     2.281560e-11     179.982     
2970.000     417.441     1.779210e-11     179.526     
3000.000     413.267     1.369930e-11     -179.208     
3030.000     409.175     0.000000e+00     0.000     
