photo current measurement     DLTS (c) R.Pickenhain  version 6.0 /500ns/ccs/pc/W-laser [2011-2021]
Laser Betriebszeit: 0 s

Substanz: _     Sample: D3
File Name: __pc_D3_04_08_2026_11_09_23.txt

Area: 1.00e+00  Epsilon: 1.000
temperature [K]: 0.00   slit [mm]: 0.00
chopper frequence: 333.504   Prisma:  Si68
E begin [meV]= 600.00   E end [meV]= 3000.00
dE [meV]= 30.00  dt [s]= 3.00
Maximum: False   gain:

Comments: 

E[meV]   lambda[nm]   photocurrent[A]   Theta[degree]    
600.000     2066.333     8.157080e-11     -155.232     
630.000     1967.937     8.088860e-11     0.210     
660.000     1878.485     8.330450e-11     2.430     
690.000     1796.812     7.810330e-11     4.452     
720.000     1721.944     7.040100e-11     8.094     
750.000     1653.067     6.778620e-11     11.388     
780.000     1589.487     5.468360e-11     20.160     
810.000     1530.617     4.050120e-11     39.258     
840.000     1475.952     3.657900e-11     58.962     
870.000     1425.057     3.848320e-11     84.612     
900.000     1377.556     4.959610e-11     110.304     
930.000     1333.118     6.892310e-11     126.894     
960.000     1291.458     9.721690e-11     137.232     
990.000     1252.323     1.457760e-10     144.606     
1020.000     1215.490     2.549450e-10     149.562     
1050.000     1180.762     1.584120e-09     149.952     
1080.000     1147.963     6.734840e-09     151.536     
1110.000     1116.937     1.797720e-08     152.076     
1140.000     1087.544     3.453190e-08     152.616     
1170.000     1059.658     6.178060e-08     153.264     
1200.000     1033.167     8.873080e-08     154.290     
1230.000     1007.967     1.005830e-07     154.998     
1260.000     983.968     1.007870e-07     155.436     
1290.000     961.085     9.356930e-08     155.736     
1320.000     939.242     8.448890e-08     155.892     
1350.000     918.370     7.337120e-08     155.940     
1380.000     898.406     6.356320e-08     156.006     
1410.000     879.291     5.366770e-08     155.982     
1440.000     860.972     4.668280e-08     155.904     
1470.000     843.401     4.214260e-08     155.826     
1500.000     826.533     3.981430e-08     155.760     
1530.000     810.327     3.862100e-08     155.670     
1560.000     794.744     3.777700e-08     155.646     
1590.000     779.748     3.683110e-08     155.682     
1620.000     765.309     3.568880e-08     155.658     
1650.000     751.394     3.432820e-08     155.652     
1680.000     737.976     3.281480e-08     155.634     
1710.000     725.029     3.121410e-08     155.646     
1740.000     712.529     2.945320e-08     155.634     
1770.000     700.452     2.767790e-08     155.592     
1800.000     688.778     2.597530e-08     155.550     
1830.000     677.486     2.428360e-08     155.538     
1860.000     666.559     2.273020e-08     155.526     
1890.000     655.979     2.118040e-08     155.514     
1920.000     645.729     1.961610e-08     155.520     
1950.000     635.795     1.814270e-08     155.490     
1980.000     626.162     1.671660e-08     155.496     
2010.000     616.816     1.541420e-08     155.460     
2040.000     607.745     1.411910e-08     155.448     
2070.000     598.937     1.292940e-08     155.448     
2100.000     590.381     1.181980e-08     155.406     
2130.000     582.066     1.076670e-08     155.406     
2160.000     573.981     9.780760e-09     155.346     
2190.000     566.119     8.854900e-09     155.328     
2220.000     558.468     8.001790e-09     155.298     
2250.000     551.022     7.195950e-09     155.244     
2280.000     543.772     6.444710e-09     155.190     
2310.000     536.710     5.778960e-09     155.106     
2340.000     529.829     5.145950e-09     155.052     
2370.000     523.122     4.582970e-09     154.980     
2400.000     516.583     4.073660e-09     154.914     
2430.000     510.206     3.589790e-09     154.824     
2460.000     503.984     3.171420e-09     154.716     
2490.000     497.912     2.793070e-09     154.632     
2520.000     491.984     2.458380e-09     154.476     
2550.000     486.196     2.153700e-09     154.332     
2580.000     480.543     1.882670e-09     154.152     
2610.000     475.019     1.648920e-09     153.966     
2640.000     469.621     1.431550e-09     153.738     
2670.000     464.345     1.230550e-09     153.396     
2700.000     459.185     1.060710e-09     153.114     
2730.000     454.139     9.092710e-10     152.718     
2760.000     449.203     7.689810e-10     152.262     
2790.000     444.373     6.514290e-10     151.752     
2820.000     439.645     5.459280e-10     151.050     
2850.000     435.018     4.560000e-10     150.282     
2880.000     430.486     3.758500e-10     149.286     
2910.000     426.048     3.053650e-10     148.032     
2940.000     421.701     2.460200e-10     146.322     
2970.000     417.441     1.931550e-10     143.754     
3000.000     413.267     1.484760e-10     140.562     
3030.000     409.175     0.000000e+00     0.000     
