photo current measurement     DLTS (c) R.Pickenhain  version 6.0 /500ns/ccs/pc/W-laser [2011-2021]
Laser Betriebszeit: 0 s

Substanz: _     Sample: D2
File Name: __pc_D2_04_08_2026_10_54_07.txt

Area: 1.00e+00  Epsilon: 1.000
temperature [K]: 0.00   slit [mm]: 0.00
chopper frequence: 334.396   Prisma:  Si68
E begin [meV]= 600.00   E end [meV]= 3000.00
dE [meV]= 30.00  dt [s]= 3.00
Maximum: False   gain:

Comments: 

E[meV]   lambda[nm]   photocurrent[A]   Theta[degree]    
600.000     2066.333     7.510490e-12     -161.262     
630.000     1967.937     7.491840e-12     -157.254     
660.000     1878.485     7.685460e-12     -157.020     
690.000     1796.812     7.006870e-12     -0.300     
720.000     1721.944     7.351510e-12     4.182     
750.000     1653.067     6.738640e-12     1.422     
780.000     1589.487     6.852320e-12     1.884     
810.000     1530.617     6.767060e-12     1.482     
840.000     1475.952     6.362050e-12     6.192     
870.000     1425.057     6.179090e-12     3.720     
900.000     1377.556     5.926840e-12     8.322     
930.000     1333.118     5.700360e-12     7.776     
960.000     1291.458     5.073300e-12     13.716     
990.000     1252.323     4.070550e-12     18.150     
1020.000     1215.490     2.177830e-12     48.636     
1050.000     1180.762     3.323230e-11     163.020     
1080.000     1147.963     1.357290e-10     166.968     
1110.000     1116.937     2.875730e-10     167.748     
1140.000     1087.544     4.570230e-10     168.342     
1170.000     1059.658     6.721200e-10     169.086     
1200.000     1033.167     7.816010e-10     170.268     
1230.000     1007.967     7.279400e-10     171.234     
1260.000     983.968     6.049310e-10     171.966     
1290.000     961.085     4.778290e-10     172.548     
1320.000     939.242     3.808530e-10     172.992     
1350.000     918.370     3.038870e-10     173.088     
1380.000     898.406     2.479530e-10     173.070     
1410.000     879.291     2.103220e-10     172.722     
1440.000     860.972     1.931550e-10     172.404     
1470.000     843.401     1.955420e-10     171.810     
1500.000     826.533     2.163470e-10     171.354     
1530.000     810.327     2.573890e-10     171.126     
1560.000     794.744     3.208260e-10     170.712     
1590.000     779.748     4.096150e-10     170.610     
1620.000     765.309     5.297840e-10     170.466     
1650.000     751.394     6.855350e-10     170.316     
1680.000     737.976     8.715270e-10     170.292     
1710.000     725.029     1.096740e-09     170.232     
1740.000     712.529     1.354930e-09     170.226     
1770.000     700.452     1.642550e-09     170.214     
1800.000     688.778     1.934050e-09     170.214     
1830.000     677.486     2.227590e-09     170.214     
1860.000     666.559     2.501120e-09     170.220     
1890.000     655.979     2.768520e-09     170.202     
1920.000     645.729     3.016350e-09     170.178     
1950.000     635.795     3.220080e-09     170.208     
1980.000     626.162     3.368780e-09     170.172     
2010.000     616.816     3.467460e-09     170.142     
2040.000     607.745     3.512480e-09     170.154     
2070.000     598.937     3.502020e-09     170.112     
2100.000     590.381     3.438810e-09     170.094     
2130.000     582.066     3.329220e-09     170.076     
2160.000     573.981     3.180520e-09     170.028     
2190.000     566.119     2.998160e-09     170.034     
2220.000     558.468     2.795800e-09     170.016     
2250.000     551.022     2.572520e-09     169.998     
2280.000     543.772     2.350150e-09     169.998     
2310.000     536.710     2.130960e-09     169.986     
2340.000     529.829     1.914050e-09     169.992     
2370.000     523.122     1.706220e-09     169.974     
2400.000     516.583     1.522050e-09     169.968     
2430.000     510.206     1.345600e-09     170.016     
2460.000     503.984     1.189850e-09     169.974     
2490.000     497.912     1.051160e-09     170.010     
2520.000     491.984     9.288250e-10     169.998     
2550.000     486.196     8.162750e-10     169.998     
2580.000     480.543     7.182770e-10     169.932     
2610.000     475.019     6.328980e-10     169.908     
2640.000     469.621     5.566140e-10     169.860     
2670.000     464.345     4.856740e-10     169.818     
2700.000     459.185     4.243950e-10     169.788     
2730.000     454.139     3.710760e-10     169.704     
2760.000     449.203     3.223040e-10     169.602     
2790.000     444.373     2.809220e-10     169.554     
2820.000     439.645     2.442010e-10     169.560     
2850.000     435.018     2.117990e-10     169.326     
2880.000     430.486     1.837190e-10     169.182     
2910.000     426.048     1.591060e-10     169.080     
2940.000     421.701     1.375340e-10     168.936     
2970.000     417.441     1.178090e-10     168.702     
3000.000     413.267     1.021760e-10     168.468     
3030.000     409.175     0.000000e+00     0.000     
