v-sweep;I(MQ1:d);
2.54;1.75058e-05;
2.55;2.13592e-05;
2.56;2.60581e-05;
2.57;3.17867e-05;
2.58;3.87697e-05;
2.59;4.72798e-05;
2.6;5.76485e-05;
2.61;7.02787e-05;
2.62;8.56592e-05;
2.63;0.000104383;
2.64;0.00012717;
2.65;0.00015489;
2.66;0.000188599;
2.67;0.000229571;
2.68;0.000279347;
2.69;0.000339786;
2.7;0.000413128;
2.71;0.00050207;
2.72;0.000609853;
2.73;0.000740366;
2.74;0.000898268;
2.75;0.00108913;
2.76;0.00131959;
2.77;0.00159756;
2.78;0.00193244;
2.79;0.00233533;
2.8;0.00281938;
2.81;0.00340002;
2.82;0.00409538;
2.83;0.00492663;
2.84;0.00591841;
2.85;0.00709928;
2.86;0.00850217;
2.87;0.0101649;
2.88;0.0121306;
2.89;0.0144483;
2.9;0.0171733;
2.91;0.0203675;
2.92;0.0241002;
2.93;0.0284478;
2.94;0.0334942;
2.95;0.0393311;
2.96;0.0460573;
2.97;0.0537792;
2.98;0.0626098;
2.99;0.0726682;
3;0.0840793;
3.01;0.0969721;
3.02;0.111479;
3.03;0.127737;
3.04;0.145879;
3.05;0.166045;
3.06;0.188367;
3.07;0.212978;
3.08;0.240008;
3.09;0.269581;
3.1;0.301815;
3.11;0.336822;
3.12;0.374709;
3.13;0.415574;
3.14;0.459507;
3.15;0.506591;
3.16;0.556903;
3.17;0.610509;
3.18;0.667471;
3.19;0.727842;
3.2;0.791669;
3.21;0.858992;
3.22;0.929847;
3.23;1.00426;
3.24;1.08226;
3.25;1.16387;
3.26;1.24909;
3.27;1.33796;
3.28;1.43046;
3.29;1.52662;
3.3;1.62643;
3.31;1.7299;
3.32;1.83703;
3.33;1.94781;
3.34;2.06225;
3.35;2.18035;
3.36;2.30209;
3.37;2.42748;
3.38;2.55651;
3.39;2.68917;
3.4;2.82547;
3.41;2.96538;
3.42;3.10892;
3.43;3.25607;
3.44;3.40682;
3.45;3.56117;
3.46;3.71912;
3.47;3.88066;
3.48;4.04578;
3.49;4.21448;
3.5;4.38676;
3.51;4.56261;
3.52;4.74202;
3.53;4.92499;
3.54;5.11152;
3.55;5.3016;
3.56;5.49524;
3.57;5.69242;
3.58;5.89314;
3.59;6.0974;
3.6;6.3052;
3.61;6.51653;
3.62;6.7314;
3.63;6.9498;
3.64;7.17172;
3.65;7.39717;
3.66;7.62614;
3.67;7.85863;
3.68;8.09465;
3.69;8.33418;
3.7;8.57723;
3.71;8.8238;
3.72;9.07388;
3.73;9.32748;
3.74;9.58458;
3.75;9.8452;
3.76;10.1093;
3.77;10.377;
3.78;10.6481;
3.79;10.9228;
3.8;11.2009;
3.81;11.4826;
3.82;11.7678;
3.83;12.0565;
3.84;12.3487;
3.85;12.6444;
3.86;12.9436;
3.87;13.2463;
3.88;13.5525;
3.89;13.8622;
3.9;14.1754;
3.91;14.4921;
3.92;14.8123;
3.93;15.136;
3.94;15.4633;
3.95;15.794;
3.96;16.1282;
3.97;16.466;
3.98;16.8072;
3.99;17.1519;
4;17.5002;
4.01;17.8519;
4.02;18.2071;
4.03;18.5659;
4.04;18.9281;
4.05;19.2939;
4.06;19.6631;
4.07;20.0358;
4.08;20.4121;
4.09;20.7918;
4.1;21.1751;
4.11;21.5618;
4.12;21.9521;
4.13;22.3458;
4.14;22.743;
4.15;23.1438;
4.16;23.548;
4.17;23.9558;
4.18;24.367;
4.19;24.7818;
4.2;25.2;
4.21;25.6218;
4.22;26.047;
4.23;26.4758;
4.24;26.908;
4.25;27.3438;
4.26;27.783;
4.27;28.2258;
4.28;28.672;
4.29;29.1218;
4.3;29.575;
4.31;30.0318;
4.32;30.492;
4.33;30.9558;
4.34;31.423;
4.35;31.8938;
4.36;32.368;
4.37;32.8458;
4.38;33.327;
4.39;33.8118;
4.4;34.3;
4.41;34.7918;
4.42;35.287;
4.43;35.7858;
4.44;36.288;
4.45;36.7938;
4.46;37.303;
4.47;37.8158;
4.48;38.332;
4.49;38.8518;
4.5;39.375;
4.51;39.9018;
4.52;40.432;
4.53;40.9658;
4.54;41.503;
4.55;42.0438;
4.56;42.588;
4.57;43.1358;
4.58;43.687;
4.59;44.2418;
4.6;44.8;
4.61;45.3618;
4.62;45.927;
4.63;46.4958;
4.64;47.068;
4.65;47.6438;
4.66;48.223;
4.67;48.8058;
4.68;49.392;
4.69;49.9818;
4.7;50.575;
4.71;51.1718;
4.72;51.772;
4.73;52.3758;
4.74;52.983;
