Diodenstrom I_D (mA),Diodenspannung V_D (mV),Optische Leistung P
0.1,1348,4.6 nW
0.2,1395,13.5 nW
0.3,1423,27.7 nW
0.4,1438,41.1 nW
0.5,1452,61.4 nW
0.6,1463,82.4 nW
0.7,1473,102.4 nW
0.8,1480,125.5 nW
0.9,1488,153 nW
1,1493,176.9 nW
2,1538,486 nW
3,1569,867.2 nW
4,1593,1291 nW
5,1616,1788.1 nW
6,1635,2.315 uW
7,1654,2.913 uW
8,1672,3.605 uW
9,1688,4.329 uW
10,1705,5.293 uW
11,1719,6.289 uW
12,1734,7.919 uW
13,1748,11.028 uW
14,1760,50.7 uW
15,1769,196.7 uW
16,1779,352.0 uW
17,1788,491.3 uW
18,1797,629.8 uW
19,1806,769.1 uW
20,1817,918.1 uW
21,1826,1058.3 uW
