Diodenstrom I_D (mA),Diodenspannung V_D (mV),Optische Leistung P
0.1,1332,4.04 nW
0.2,1380,12.2 nW
0.3,1408,24.3 nW
0.4,1425,38.2 nW
0.5,1439,54.6 nW
0.6,1450,74.9 nW
0.7,1459,92.6 nW
0.8,1467,114.7 nW
0.9,1476,139.4 nW
1,1481,161.4 nW
2,1529,464.4 nW
3,1560,821.1 nW
4,1584,1219.1 nW
5,1606,1668 nW
6,1626,2.16 uW
7,1644,2.693 uW
8,1662,3.308 uW
9,1679,3.952 uW
10,1693,4.674 uW
11,1709,5.532 uW
12,1724,6.608 uW
13,1739,8.816 uW
14,1751,10.59 uW
15,1764,22.48 uW
16,1774,145.9 uW
17,1783,281.1 uW
18,1792,418.9 uW
19,1802,563.0 uW
20,1811,696.1 uW
21,1820,834.7 uW
22,1830,968 uW
23,1839,1110 uW
