Diodenstrom I_D (mA),Diodenspannung V_D (mV),Optische Leistung P
0.1,1372,5.2 nW
0.2,1418,15.9 nW
0.3,1441,30.5 nW
0.4,1457,47.6 nW
0.5,1470,68.3 nW
0.6,1481,92.3 nW
0.7,1490,118.2 nW
0.8,1496,139.2 nW
0.9,1504,167.4 nW
1,1512,205 nW
2,1552,522.5 nW
3,1582,923.9 nW
4,1608,1400 nW
5,1629,1914.3 nW
6,1649,2.52 uW
7,1676,3.185 uW
8,1685,3.967 uW
9,1702,4.87 uW
10,1718,6.05 uW
11,1733,7.895 uW
12,1747,12.261 uW
13,1756,121.33 uW
14,1766,282.8 uW
15,1776,434.5 uW
16,1784,571.7 uW
17,1794,718.3 uW
18,1804,868.1 uW
19,1814,1017.9 uW
