d,I
0,9.70E-07
0.15,5.50E-07
0.3,2.95E-07
0.6,2.00E-07
1.3,4.91E-08
2,5.35E-08
2.6,2.40E-08
3,1.13E-08
3.3,9.50E-09
3.6,6.34E-09
4,2.68E-09
4.3,2.38E-09
4.6,1.17E-09
5,7.80E-10
